Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
SRR5021032,2016-11-20 11:43:04,2016-11-15 11:21:03,8151988,1630397600,8151988,200,977,,https://sra-download.ncbi.nlm.nih.gov/traces/sra2/SRR/004903/SRR5021032,SRX2348804,SavA2_GTGGCC_L002,WGS,unspecified,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP069814,PRJNA311274,2,311274,SRS1799016,SAMN06017579,simple,7460,Apis mellifera,CSA02,,,,,male,,no,,,,,,SRA493942,,public,FF9EBBEF08622B33AC7F8868FE7658A6,32441B0A137BAD58B8195A7D2AD9D825
SRR5021014,2016-11-20 11:41:15,2016-11-15 11:13:32,3972742,794548400,3972742,200,476,,https://sra-download.ncbi.nlm.nih.gov/traces/sra12/SRR/004903/SRR5021014,SRX2348786,SavB3_TAGCTT_L002,WGS,unspecified,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP069814,PRJNA311274,2,311274,SRS1798998,SAMN06017580,simple,7460,Apis mellifera,CSA03,,,,,male,,no,,,,,,SRA493942,,public,BF5ED4CE344304D9DBE9AFD462CDC962,CCAC6DA053AFECFC7F42795108F4878A
SRR5021017,2016-11-20 11:42:08,2016-11-15 11:16:38,8865302,1773060400,8865302,200,1065,,https://sra-download.ncbi.nlm.nih.gov/traces/sra2/SRR/004903/SRR5021017,SRX2348789,SavA4_GTTTCG_L002,WGS,unspecified,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP069814,PRJNA311274,2,311274,SRS1799001,SAMN06017581,simple,7460,Apis mellifera,CSA04,,,,,male,,no,,,,,,SRA493942,,public,A69580C7E3191953FB4DAECD8EA894DD,C102FCA309E154C930A6938C02EA4EC4
SRR5021034,2016-11-20 11:43:03,2016-11-15 11:21:06,7048049,1409609800,7048049,200,846,,https://sra-download.ncbi.nlm.nih.gov/traces/sra2/SRR/004903/SRR5021034,SRX2348806,SavB5_GGCTAC_L002,WGS,unspecified,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP069814,PRJNA311274,2,311274,SRS1799018,SAMN06017582,simple,7460,Apis mellifera,CSA05,,,,,male,,no,,,,,,SRA493942,,public,B600654828C65670D948662123F1923B,799727D53798AD7DFA8FAAE04EE0495A
SRR5021037,2016-11-20 11:43:24,2016-11-15 11:22:35,8060645,1612129000,8060645,200,966,,https://sra-download.ncbi.nlm.nih.gov/traces/sra2/SRR/004903/SRR5021037,SRX2348809,SavA7_CGTACG_L002,WGS,unspecified,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP069814,PRJNA311274,2,311274,SRS1799021,SAMN06017583,simple,7460,Apis mellifera,CSA06,,,,,male,,no,,,,,,SRA493942,,public,B7E03962B2D28FF3DD94A15A8FE6F3A3,2A13119A20508D22BFF832CC3C609334
SRR5021020,2016-11-20 11:42:09,2016-11-15 11:16:42,6444281,1288856200,6444281,200,769,,https://sra-download.ncbi.nlm.nih.gov/traces/sra15/SRR/004903/SRR5021020,SRX2348792,SavB7_CTTGTA_L002,WGS,unspecified,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP069814,PRJNA311274,2,311274,SRS1799004,SAMN06017584,simple,7460,Apis mellifera,CSA07,,,,,male,,no,,,,,,SRA493942,,public,1CAF612DEE0F741F979EE1E07E0BDC54,34B6AE04C25C1661D51DFFFC55EEF7C9
SRR5021019,2016-11-20 11:42:22,2016-11-15 11:16:55,8776715,1755343000,8776715,200,1055,,https://sra-download.ncbi.nlm.nih.gov/traces/sra15/SRR/004903/SRR5021019,SRX2348791,SavA8_GAGTGG_L002,WGS,unspecified,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP069814,PRJNA311274,2,311274,SRS1799003,SAMN06017585,simple,7460,Apis mellifera,CSA08,,,,,male,,no,,,,,,SRA493942,,public,3FA99DD11D17D1EA4527B896FB0C7EB0,75E43C887E56CB4DB99CA8372E5570EE
SRR5021015,2016-11-20 11:41:54,2016-11-15 11:15:33,7422888,1484577600,7422888,200,882,,https://sra-download.ncbi.nlm.nih.gov/traces/sra7/SRR/004903/SRR5021015,SRX2348787,SavA9_ACTGAT_L002,WGS,unspecified,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP069814,PRJNA311274,2,311274,SRS1798999,SAMN06017586,simple,7460,Apis mellifera,CSA09,,,,,male,,no,,,,,,SRA493942,,public,03609BACB7C1A8FE82101AE827864775,D3B960872138DB366FF58D9B2C46CBA8
SRR5021018,2016-11-20 11:42:23,2016-11-15 11:16:04,9038074,1807614800,9038074,200,1065,,https://sra-download.ncbi.nlm.nih.gov/traces/sra8/SRR/004903/SRR5021018,SRX2348790,SavA10_ATTCCT_L002,WGS,unspecified,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP069814,PRJNA311274,2,311274,SRS1799002,SAMN06017588,simple,7460,Apis mellifera,CSA11,,,,,male,,no,,,,,,SRA493942,,public,B7758C711FB65EB1445CD94014AB6E5A,931E9A38140510CD0D2392F006DAD564
SRR5021029,2016-11-20 11:42:56,2016-11-15 11:19:31,7348266,1469653200,7348266,200,878,,https://sra-download.ncbi.nlm.nih.gov/traces/sra15/SRR/004903/SRR5021029,SRX2348801,SavB10_AGTTCC_L002,WGS,unspecified,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP069814,PRJNA311274,2,311274,SRS1799013,SAMN06017589,simple,7460,Apis mellifera,CSA12,,,,,male,,no,,,,,,SRA493942,,public,436D4783A3DB7227C5C60E90B8241847,89662CBB850C9DC1A1695CDC31E387DD
SRR5021027,2016-11-20 11:46:02,2016-11-15 11:19:36,7821700,1564340000,7821700,200,937,,https://sra-download.ncbi.nlm.nih.gov/traces/sra8/SRR/004903/SRR5021027,SRX2348799,SavA12_CGATGT_L002,WGS,unspecified,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP069814,PRJNA311274,2,311274,SRS1799011,SAMN06017591,simple,7460,Apis mellifera,CSA14,,,,,male,,no,,,,,,SRA493942,,public,01B3DC9BA886016EE82AEF3C4C0F5740,417A1EA44C89DA590FA50300306CC949
SRR5021036,2016-11-20 11:43:27,2016-11-15 11:23:19,8814881,1762976200,8814881,200,1059,,https://sra-download.ncbi.nlm.nih.gov/traces/sra2/SRR/004903/SRR5021036,SRX2348808,SavA14_TTAGGC_L002,WGS,unspecified,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP069814,PRJNA311274,2,311274,SRS1799020,SAMN06017593,simple,7460,Apis mellifera,CSA16,,,,,male,,no,,,,,,SRA493942,,public,04E27E638BC4B3C89640A7E762ECCB12,64F51C3F3758BF7FB14516037C74E8C3
SRR5021016,2016-11-20 11:41:57,2016-11-15 11:14:59,6832453,1366490600,6832453,200,822,,https://sra-download.ncbi.nlm.nih.gov/traces/sra7/SRR/004903/SRR5021016,SRX2348788,SavB14_CCGTCC_L008,WGS,unspecified,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP069814,PRJNA311274,2,311274,SRS1799000,SAMN06017594,simple,7460,Apis mellifera,CSA17,,,,,male,,no,,,,,,SRA493942,,public,91D0FF91C861362666CFBCBA0A6958AC,BE88D2CC152C1F8874735F54CCB8D028
SRR5021038,2016-11-20 11:43:30,2016-11-15 11:23:07,9811240,1962248000,9811240,200,1170,,https://sra-download.ncbi.nlm.nih.gov/traces/sra2/SRR/004903/SRR5021038,SRX2348810,SavA15_TGACCA_L002,WGS,unspecified,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP069814,PRJNA311274,2,311274,SRS1799022,SAMN06017595,simple,7460,Apis mellifera,CSA18,,,,,male,,no,,,,,,SRA493942,,public,C981CC0A966C10E3528E8FF6858B8151,D4EBD733D775B5BFB8AF21D63512615D
SRR5021035,2016-11-20 11:43:09,2016-11-15 11:21:04,7366132,1473226400,7366132,200,882,,https://sra-download.ncbi.nlm.nih.gov/traces/sra15/SRR/004903/SRR5021035,SRX2348807,SavB15_GTCCGC_L008,WGS,unspecified,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP069814,PRJNA311274,2,311274,SRS1799019,SAMN06017596,simple,7460,Apis mellifera,CSA19,,,,,male,,no,,,,,,SRA493942,,public,F7BA89810CC8CFC0A6D15004587CA55F,39F76C45A22E5DD063027518B19A8727
SRR5021023,2016-11-20 11:42:51,2016-11-15 11:19:05,8661063,1732212600,8661063,200,1038,,https://sra-download.ncbi.nlm.nih.gov/traces/sra8/SRR/004903/SRR5021023,SRX2348795,SavA16_GCCAAT_L002,WGS,unspecified,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP069814,PRJNA311274,2,311274,SRS1799007,SAMN06017597,simple,7460,Apis mellifera,CSA20,,,,,male,,no,,,,,,SRA493942,,public,3B7D0B4C1CE2AC26FD73DAB7BF5D1565,CE063E13875618C9ECB8298C55312E43
SRR5021024,2016-11-20 11:43:13,2016-11-15 11:22:32,7339255,1467851000,7339255,200,877,,https://sra-download.ncbi.nlm.nih.gov/traces/sra2/SRR/004903/SRR5021024,SRX2348796,SavB16_GTGAAA_L008,WGS,unspecified,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP069814,PRJNA311274,2,311274,SRS1799008,SAMN06017598,simple,7460,Apis mellifera,CSA21,,,,,male,,no,,,,,,SRA493942,,public,46924002D8E91F31FF6714B79E7523D8,89BFC416298D5AD0786CE4B4AAECA05C
SRR5021031,2016-11-20 11:43:22,2016-11-15 11:21:59,10001800,2000360000,10001800,200,1204,,https://sra-download.ncbi.nlm.nih.gov/traces/sra12/SRR/004903/SRR5021031,SRX2348803,SavA17_CAGATC_L002,WGS,unspecified,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP069814,PRJNA311274,2,311274,SRS1799015,SAMN06017599,simple,7460,Apis mellifera,CSA22,,,,,male,,no,,,,,,SRA493942,,public,CF99C1F20DE3F9F50C4ACC0C994B6296,F7307234044DE621FA5F3DFCF04C9E6E
SRR5021028,2016-11-20 11:43:01,2016-11-15 11:21:40,9088046,1817609200,9088046,200,1088,,https://sra-download.ncbi.nlm.nih.gov/traces/sra7/SRR/004903/SRR5021028,SRX2348800,SavB17_GTGGCC_L008,WGS,unspecified,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP069814,PRJNA311274,2,311274,SRS1799012,SAMN06017600,simple,7460,Apis mellifera,CSA23,,,,,male,,no,,,,,,SRA493942,,public,F84510BFDEBD1738B0C4597FC2BAC8A7,AB8247219EE70ECD69CFB67841321CD6
SRR5021013,2016-11-20 11:43:06,2016-11-15 11:18:10,9017492,1803498400,9017492,200,1088,,https://sra-download.ncbi.nlm.nih.gov/traces/sra7/SRR/004903/SRR5021013,SRX2348785,SavA18_ACTTGA_L002,WGS,unspecified,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP069814,PRJNA311274,2,311274,SRS1798997,SAMN06017601,simple,7460,Apis mellifera,CSA24,,,,,male,,no,,,,,,SRA493942,,public,9D6DC89004C2D3E2F05602363D758C93,91E5FEA3A039E499B9ABB504A52FB11E
SRR5021025,2016-11-20 11:42:48,2016-11-15 11:19:22,9136460,1827292000,9136460,200,1093,,https://sra-download.ncbi.nlm.nih.gov/traces/sra7/SRR/004903/SRR5021025,SRX2348797,SavB18_GTTTCG_L008,WGS,unspecified,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP069814,PRJNA311274,2,311274,SRS1799009,SAMN06017602,simple,7460,Apis mellifera,CSA25,,,,,male,,no,,,,,,SRA493942,,public,174E63A17FB908B4AED54C6DE3286A76,5D84E1995A00BD7BF7956F1076D941D8
SRR5021022,2016-11-20 11:42:36,2016-11-15 11:17:36,8833598,1766719600,8833598,200,1058,,https://sra-download.ncbi.nlm.nih.gov/traces/sra12/SRR/004903/SRR5021022,SRX2348794,SavB20_CGTACG_L008,WGS,unspecified,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP069814,PRJNA311274,2,311274,SRS1799006,SAMN06017603,simple,7460,Apis mellifera,CSA26,,,,,male,,no,,,,,,SRA493942,,public,F18F0D5595280D0636CA23BFC034658B,230032BCA908E05C5E3C2D2C3DEDC2F6
SRR5021026,2016-11-20 11:42:51,2016-11-15 11:18:33,10217903,2043580600,10217903,200,1215,,https://sra-download.ncbi.nlm.nih.gov/traces/sra15/SRR/004903/SRR5021026,SRX2348798,SavB21_ACTGAT_L008,WGS,unspecified,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP069814,PRJNA311274,2,311274,SRS1799010,SAMN06017604,simple,7460,Apis mellifera,CSA27,,,,,male,,no,,,,,,SRA493942,,public,A785F97F4F37C7CCB06987DDBDB6E53F,59E5EE8AC0A1C4A6769E008C4883A764
SRR5021030,2016-11-20 11:43:00,2016-11-15 11:20:18,8620115,1724023000,8620115,200,1035,,https://sra-download.ncbi.nlm.nih.gov/traces/sra2/SRR/004903/SRR5021030,SRX2348802,SavB23_ATTCCT_L008,WGS,unspecified,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP069814,PRJNA311274,2,311274,SRS1799014,SAMN06017605,simple,7460,Apis mellifera,CSA28,,,,,male,,no,,,,,,SRA493942,,public,B140C243AD1DB3ADFFDE28F13147CFCA,BCABA0EE9DC5524CEF8C696A90F5D6B4
SRR5021021,2016-11-20 11:42:23,2016-11-15 11:17:27,5335605,1067121000,5335605,200,640,,https://sra-download.ncbi.nlm.nih.gov/traces/sra2/SRR/004903/SRR5021021,SRX2348793,SavC34_ATCACG_L008,WGS,unspecified,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP069814,PRJNA311274,2,311274,SRS1799005,SAMN06017606,simple,7460,Apis mellifera,CSA34,,,,,male,,no,,,,,,SRA493942,,public,1B9DB83E6695494361EA0A4FDD8CE6E8,E54C4BF23DE528AE22B3E596BFF27643
SRR5021033,2016-11-20 11:43:04,2016-11-15 11:21:31,8155842,1631168400,8155842,200,975,,https://sra-download.ncbi.nlm.nih.gov/traces/sra2/SRR/004903/SRR5021033,SRX2348805,SavC36_CGATGT_L008,WGS,unspecified,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP069814,PRJNA311274,2,311274,SRS1799017,SAMN06017607,simple,7460,Apis mellifera,CSA36,,,,,male,,no,,,,,,SRA493942,,public,0C74D0BDED17B9E4AA41C1D972E2A680,E74EE0FE3B00E81E48B93F8421A54583
SRR6236936,2017-10-31 05:23:12,2017-10-31 05:21:45,11253953,2722060800,11253953,241,1494,,https://sra-download.ncbi.nlm.nih.gov/traces/sra53/SRR/006090/SRR6236936,SRX3345175,BER15_ATCACG_merged,WGS,size fractionation,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP069814,PRJNA311274,2,311274,SRS2645821,SAMN07956261,simple,7460,Apis mellifera,DEU15,,,,,male,,no,,,,,INRA,SRA626514,,public,B83AC24533A6301190EDC4F7C3C5D445,CB87760A0E450D1AA79504BA1A73425C
SRR6236935,2017-10-31 05:34:12,2017-10-31 05:25:06,10274430,2676982200,10274430,260,1392,,https://sra-download.ncbi.nlm.nih.gov/traces/sra53/SRR/006090/SRR6236935,SRX3345176,BER17_TTAGGC_merged,WGS,size fractionation,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP069814,PRJNA311274,2,311274,SRS2645819,SAMN07956262,simple,7460,Apis mellifera,DEU17,,,,,male,,no,,,,,INRA,SRA626514,,public,A08AD0DC67458D6D76B5ACC45F047131,2C683496540BF1F4D9431E5CA8F51BAE
SRR6236948,2017-10-31 06:00:14,2017-10-31 05:54:13,9950234,2985070200,9950234,300,1285,,https://sra-download.ncbi.nlm.nih.gov/traces/sra53/SRR/006090/SRR6236948,SRX3345163,ITA11A-GGCTAC-L004,WGS,size fractionation,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP069814,PRJNA311274,2,311274,SRS2645807,SAMN07956273,simple,7460,Apis mellifera,ITA11A,,,,,male,,no,,,,,INRA,SRA626514,,public,3D90DA961FB94E7DBA854FD10D3CC09D,BDD1F55AE73D0301513AC09FA8BB4447
SRR6236947,2017-10-31 05:33:12,2017-10-31 05:26:19,13504670,4051401000,13504670,300,1717,,https://sra-download.ncbi.nlm.nih.gov/traces/sra53/SRR/006090/SRR6236947,SRX3345164,ITA12A-CTTGTA-L004,WGS,size fractionation,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP069814,PRJNA311274,2,311274,SRS2645808,SAMN07956274,simple,7460,Apis mellifera,ITA12A,,,,,male,,no,,,,,INRA,SRA626514,,public,91A8624997813A67E31D30984A1634B3,F57970FFBAA324F19B662CE92E2ADA72
SRR6236950,2017-10-31 05:40:29,2017-10-31 05:26:51,16601031,4980309300,16601031,300,2120,,https://sra-download.ncbi.nlm.nih.gov/traces/sra53/SRR/006090/SRR6236950,SRX3345161,ITA18A-GTGAAA-L004,WGS,size fractionation,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP069814,PRJNA311274,2,311274,SRS2645805,SAMN07956275,simple,7460,Apis mellifera,ITA18A,,,,,male,,no,,,,,INRA,SRA626514,,public,03CE54E0C282509B2022885E1922EFF5,4420614B5A6F99DA919C77110EDEB432
SRR6236949,2017-10-31 05:33:12,2017-10-31 05:25:07,12922038,3876611400,12922038,300,1704,,https://sra-download.ncbi.nlm.nih.gov/traces/sra53/SRR/006090/SRR6236949,SRX3345162,ITA1A-ATCACG-L004,WGS,size fractionation,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP069814,PRJNA311274,2,311274,SRS2645806,SAMN07956276,simple,7460,Apis mellifera,ITA1A,,,,,male,,no,,,,,INRA,SRA626514,,public,C3123B509C29757F1E938411D10600ED,60D32EFAD02B4A6D9EC86DD46C8D6594
SRR6236952,2017-10-31 05:33:12,2017-10-31 05:24:31,15770598,4731179400,15770598,300,1990,,https://sra-download.ncbi.nlm.nih.gov/traces/sra53/SRR/006090/SRR6236952,SRX3345159,ITA24A-ATTCCT-L004,WGS,size fractionation,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP069814,PRJNA311274,2,311274,SRS2645803,SAMN07956277,simple,7460,Apis mellifera,ITA24A,,,,,male,,no,,,,,INRA,SRA626514,,public,BFE0F981586C82DF43E89227D476A8CA,C33C92F0EF180FEF88836CE75DAAC32D
SRR6236951,2017-10-31 05:33:12,2017-10-31 05:24:23,13721357,4116407100,13721357,300,1839,,https://sra-download.ncbi.nlm.nih.gov/traces/sra53/SRR/006090/SRR6236951,SRX3345160,ITA25A-ATCACG-L003,WGS,size fractionation,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP069814,PRJNA311274,2,311274,SRS2645804,SAMN07956278,simple,7460,Apis mellifera,ITA25A,,,,,male,,no,,,,,INRA,SRA626514,,public,9DA89BEB856E5BFCA8ED1CEE73E680A2,479142F82A61E98FD50AB3F1E47654C8
SRR6236954,2017-10-31 05:44:13,2017-10-31 05:27:56,19251134,5775340200,19251134,300,2504,,https://sra-download.ncbi.nlm.nih.gov/traces/sra53/SRR/006090/SRR6236954,SRX3345157,ITA26A-CGATGT-L003,WGS,size fractionation,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP069814,PRJNA311274,2,311274,SRS2645801,SAMN07956279,simple,7460,Apis mellifera,ITA26A,,,,,male,,no,,,,,INRA,SRA626514,,public,80E85FE0FF8F5007237842E8435A65FB,84E6614E7ABD41B10D2FC85123C1B9C7
SRR6236953,2017-10-31 05:35:12,2017-10-31 05:24:04,13082785,3924835500,13082785,300,1707,,https://sra-download.ncbi.nlm.nih.gov/traces/sra53/SRR/006090/SRR6236953,SRX3345158,ITA28A-TGACCA-L003,WGS,size fractionation,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP069814,PRJNA311274,2,311274,SRS2645802,SAMN07956280,simple,7460,Apis mellifera,ITA28A,,,,,male,,no,,,,,INRA,SRA626514,,public,EDA796C13C227C0E98750453AB3CCED7,EED90A3AE3DABAB964799C0F13E1F5B2
